evidence_id,case_id,evidence_type,description,status,collected_by
EV006069,CASE000965,Fingerprint,Eaque labore nemo nam doloribus odit quam expedita vel.,Collected,OFF00304
EV006070,CASE000609,Fingerprint,Cumque enim id error totam.,Collected,OFF00120
EV006071,CASE005773,Weapon,Facilis maiores error ipsa optio quia tempore et a neque.,Collected,OFF00467
EV006072,CASE009231,Mobile Phone,Sunt laudantium aperiam modi quos ad.,Sent to FSL,OFF00104
EV006073,CASE003192,CCTV Footage,Quos corporis ullam in ratione impedit quia consequatur deleniti.,Sent to FSL,OFF00499
EV006074,CASE008375,DNA Sample,Sunt expedita consectetur exercitationem est autem debitis.,Pending Analysis,OFF00006
EV006075,CASE003403,Vehicle,Velit nulla tempore inventore earum aliquid pariatur doloribus labore accusantium.,Sent to FSL,OFF00414
EV006076,CASE005224,Video,Quisquam cupiditate consequuntur illum.,Sent to FSL,OFF00350
EV006077,CASE000725,DNA Sample,Quo suscipit perferendis at inventore libero ad.,Sent to FSL,OFF00005
EV006078,CASE000269,Fingerprint,Magni commodi sit delectus totam quisquam placeat vitae.,Sent to FSL,OFF00067
EV006079,CASE004698,Driving License,Officia consequatur quam molestias iste nam saepe earum eius saepe.,Collected,OFF00385
EV006080,CASE008173,Call Records,Dignissimos quia quaerat harum est.,Collected,OFF00084
EV006081,CASE009868,SIM Card,Magnam fugiat cupiditate quos nihil numquam quidem delectus.,Verified,OFF00472
EV006082,CASE004997,Laptop,Deserunt id in asperiores assumenda occaecati vel voluptatibus dicta doloribus.,Collected,OFF00322
EV006083,CASE002983,WhatsApp Chat,Laborum nesciunt cumque minima eum iusto voluptatum ipsum iusto.,Sent to FSL,OFF00468
EV006084,CASE005289,WhatsApp Chat,Quae laborum eius labore veritatis.,Pending Analysis,OFF00432
EV006085,CASE004483,CCTV Footage,Mollitia odit adipisci esse est accusantium eaque dolores deleniti.,Sent to FSL,OFF00404
EV006086,CASE003887,Call Records,Eaque alias nobis eos quidem labore at maiores placeat nesciunt.,Verified,OFF00339
EV006087,CASE007095,Bank Statement,Consequuntur voluptate a laudantium odit.,Pending Analysis,OFF00296
EV006088,CASE003563,Bank Statement,Sed tempora nobis quasi tempora provident.,Sent to FSL,OFF00432
EV006089,CASE007983,Bank Statement,Adipisci fugiat odit ipsam non itaque illum nemo veritatis debitis.,Pending Analysis,OFF00447
EV006090,CASE002372,Photo,Voluptatum voluptates accusamus autem doloribus vel voluptatum necessitatibus corporis ea.,Sent to FSL,OFF00092
EV006091,CASE007642,CCTV Footage,Natus minima tenetur recusandae quia fugiat.,Pending Analysis,OFF00069
EV006092,CASE007176,Driving License,Sapiente nobis eveniet facilis culpa voluptatem dolor consequatur nesciunt.,Verified,OFF00160
EV006093,CASE006321,Laptop,Harum quae quae quae unde earum non et error.,Verified,OFF00414
EV006094,CASE000967,DNA Sample,Unde ut veritatis enim saepe reprehenderit eligendi.,Pending Analysis,OFF00433
EV006095,CASE004903,Weapon,Sequi animi eius suscipit eos officia nesciunt labore natus laboriosam.,Verified,OFF00323
EV006096,CASE009418,Passport,In incidunt quaerat labore perferendis quam.,Pending Analysis,OFF00361
EV006097,CASE009751,Fingerprint,Voluptatum beatae animi odio nobis.,Collected,OFF00499
EV006098,CASE007438,Call Records,Magnam iusto dignissimos similique.,Verified,OFF00464
EV006099,CASE000384,Call Records,Voluptates velit sint totam explicabo.,Pending Analysis,OFF00307
EV006100,CASE001148,Photo,In ad ab distinctio ipsum debitis rem veniam.,Verified,OFF00487
EV006101,CASE007181,Weapon,Hic vitae nobis eius minus esse maxime libero nostrum modi.,Sent to FSL,OFF00276
EV006102,CASE004322,Laptop,Repudiandae qui atque iure.,Verified,OFF00491
EV006103,CASE006095,Passport,Nobis mollitia voluptate magnam voluptatum cupiditate necessitatibus quam recusandae rem.,Sent to FSL,OFF00187
EV006104,CASE002308,CCTV Footage,Pariatur enim error ipsum eos a non vero reiciendis.,Collected,OFF00077
EV006105,CASE000345,Bank Statement,Voluptatum rerum expedita alias reiciendis labore molestias.,Sent to FSL,OFF00132
EV006106,CASE001054,Call Records,Non facere minus blanditiis quas nulla quibusdam ducimus.,Verified,OFF00242
EV006107,CASE001508,Video,Eveniet incidunt cumque nemo omnis omnis eligendi.,Pending Analysis,OFF00055
EV006108,CASE008584,Weapon,Mollitia quod sequi placeat quod facilis magnam.,Pending Analysis,OFF00177
EV006109,CASE005800,Laptop,Nihil a ducimus assumenda tempora sapiente similique maxime fugit.,Collected,OFF00042
EV006110,CASE005342,Photo,Recusandae culpa porro dolor adipisci nesciunt similique.,Collected,OFF00380
EV006111,CASE000468,WhatsApp Chat,Corrupti ipsam recusandae sed cumque voluptatum qui.,Collected,OFF00255
EV006112,CASE008163,Mobile Phone,Officia soluta rerum maiores ut molestias vero illum illum nisi.,Sent to FSL,OFF00405
EV006113,CASE000487,WhatsApp Chat,Repudiandae itaque voluptatibus fugiat inventore.,Collected,OFF00055
EV006114,CASE004364,WhatsApp Chat,Autem quasi non quis assumenda veniam.,Sent to FSL,OFF00118
EV006115,CASE008071,Bank Statement,Quos nam enim tempore temporibus modi quibusdam vitae ipsum odit.,Pending Analysis,OFF00461
EV006116,CASE001940,Photo,Accusantium maxime animi porro sunt consequuntur.,Verified,OFF00348
EV006117,CASE009753,Video,Quidem veniam aut repellendus exercitationem.,Verified,OFF00286
EV006118,CASE009002,DNA Sample,Pariatur qui totam est maiores quae adipisci reprehenderit beatae.,Sent to FSL,OFF00284
EV006119,CASE000971,Vehicle,Odit suscipit suscipit labore quidem ipsa neque.,Sent to FSL,OFF00255
EV006120,CASE008732,Fingerprint,Nemo est in ut necessitatibus.,Verified,OFF00171
EV006121,CASE003071,Weapon,Numquam voluptates eos sequi occaecati et laborum incidunt.,Collected,OFF00498
EV006122,CASE007414,Video,Odit ducimus accusamus distinctio fugit exercitationem numquam ipsam mollitia a.,Collected,OFF00425
EV006123,CASE003159,Mobile Phone,Consequatur quibusdam quod excepturi dolorem dolorem dolorem.,Sent to FSL,OFF00457
EV006124,CASE001727,Mobile Phone,Consequuntur quod aliquid delectus officia.,Sent to FSL,OFF00202
EV006125,CASE005989,SIM Card,Sunt ut quibusdam quis facilis nihil illo labore ex dolores.,Sent to FSL,OFF00321
EV006126,CASE004923,Call Records,Voluptate illum ipsa natus nesciunt voluptatem quam recusandae atque.,Collected,OFF00113
EV006127,CASE002192,Video,Debitis doloribus eveniet dolores a expedita accusamus.,Verified,OFF00237
EV006128,CASE007521,Vehicle,Possimus sunt repellat error harum nihil velit debitis incidunt magni officiis.,Verified,OFF00280
EV006129,CASE007984,WhatsApp Chat,Animi tempore asperiores voluptas voluptates.,Sent to FSL,OFF00084
EV006130,CASE003304,WhatsApp Chat,Doloremque doloribus odit cupiditate corrupti harum a minima dolor modi.,Verified,OFF00032
EV006131,CASE002319,Bank Statement,Dolore dolores pariatur repellendus in incidunt perferendis voluptatibus unde ab.,Sent to FSL,OFF00085
EV006132,CASE000494,Weapon,Facere laboriosam qui neque harum nemo soluta commodi occaecati.,Sent to FSL,OFF00083
EV006133,CASE003668,Call Records,Nisi voluptates dignissimos deserunt vero officiis eum.,Verified,OFF00374
EV006134,CASE006235,Weapon,Voluptate nam hic voluptatem magnam porro.,Sent to FSL,OFF00485
EV006135,CASE001668,Passport,Recusandae fuga odio ex veritatis non perspiciatis aliquam ipsum consequuntur.,Sent to FSL,OFF00010
EV006136,CASE000468,Video,Ipsam cumque blanditiis maxime impedit quidem debitis aperiam quas.,Verified,OFF00368
EV006137,CASE009527,Weapon,Ex ipsa atque nostrum facere enim voluptatibus.,Collected,OFF00066
EV006138,CASE005287,Laptop,Quia dolorum quis soluta in ut.,Collected,OFF00178
EV006139,CASE007238,DNA Sample,Sit impedit dolor tenetur eos unde officiis quaerat nisi ducimus.,Collected,OFF00440
EV006140,CASE005163,Vehicle,Veritatis quaerat odio provident culpa rerum ea officiis expedita numquam.,Verified,OFF00364
EV006141,CASE008904,DNA Sample,Suscipit non sit reprehenderit blanditiis sequi.,Pending Analysis,OFF00257
EV006142,CASE008727,Passport,Atque minus praesentium magnam eum tempore labore.,Pending Analysis,OFF00202
EV006143,CASE008096,Photo,Cumque vel sint nesciunt eum incidunt culpa architecto ratione.,Verified,OFF00227
EV006144,CASE005852,WhatsApp Chat,Laudantium temporibus laborum illum quo aut labore dolorum vitae expedita.,Pending Analysis,OFF00038
EV006145,CASE000605,Weapon,Consequatur nisi quasi inventore laboriosam occaecati est.,Collected,OFF00145
EV006146,CASE005750,Vehicle,Ut harum ut voluptatum necessitatibus commodi expedita consequuntur.,Sent to FSL,OFF00141
EV006147,CASE008816,Passport,Vel est voluptatum eaque beatae fuga corrupti.,Pending Analysis,OFF00486
EV006148,CASE008251,Video,Soluta provident error libero sequi unde iste libero distinctio laborum.,Collected,OFF00391
EV006149,CASE006612,Fingerprint,Possimus a molestiae dicta placeat quidem eius culpa.,Sent to FSL,OFF00112
EV006150,CASE001869,DNA Sample,Blanditiis rerum laborum expedita tempore.,Pending Analysis,OFF00241
EV006151,CASE007696,WhatsApp Chat,Incidunt dolor eum harum voluptatem exercitationem.,Collected,OFF00058
EV006152,CASE006739,CCTV Footage,Corporis eligendi error inventore libero atque eaque illum quisquam.,Collected,OFF00030
EV006153,CASE005442,Driving License,Dolorem temporibus qui ad reiciendis.,Collected,OFF00425
EV006154,CASE008778,Photo,Libero iure expedita perferendis blanditiis commodi atque tenetur tempore eum nam.,Pending Analysis,OFF00314
EV006155,CASE008137,Video,Praesentium earum ullam nulla non.,Collected,OFF00364
EV006156,CASE002440,Driving License,Ipsam voluptates neque rem consectetur amet tempora.,Pending Analysis,OFF00045
EV006157,CASE003768,Fingerprint,Animi dolorum eaque nemo neque cupiditate id ipsum dicta nobis.,Collected,OFF00497
EV006158,CASE006136,Mobile Phone,Quia ex quibusdam molestias reiciendis.,Sent to FSL,OFF00160
EV006159,CASE009681,DNA Sample,Adipisci magni molestiae aut fugit vitae nostrum.,Sent to FSL,OFF00491
EV006160,CASE002782,Driving License,Voluptas illo ullam excepturi commodi.,Sent to FSL,OFF00498
EV006161,CASE001234,Photo,In quibusdam consequuntur architecto ipsum assumenda.,Collected,OFF00298
EV006162,CASE005427,Fingerprint,Provident ullam at pariatur cumque.,Sent to FSL,OFF00208
EV006163,CASE009968,WhatsApp Chat,Harum quidem autem voluptatibus nam.,Collected,OFF00444
EV006164,CASE008353,Driving License,Iste repudiandae eius eveniet laborum.,Sent to FSL,OFF00230
EV006165,CASE002568,Driving License,Consequuntur nemo earum quas dolores inventore similique fugit natus quibusdam.,Collected,OFF00153
EV006166,CASE006212,Passport,Libero tempore iusto quia expedita architecto cupiditate maxime.,Sent to FSL,OFF00308
EV006167,CASE003294,Bank Statement,Adipisci tempora distinctio recusandae error.,Sent to FSL,OFF00027
EV006168,CASE007838,Passport,Error dignissimos harum perspiciatis nisi distinctio.,Collected,OFF00232
EV006169,CASE005666,WhatsApp Chat,A velit deleniti at esse rem dolorum.,Pending Analysis,OFF00452
EV006170,CASE008216,Fingerprint,Quam reprehenderit dicta amet soluta modi unde quae nihil.,Collected,OFF00006
EV006171,CASE003109,Video,Rem nobis dolores in magnam dolorum maxime.,Sent to FSL,OFF00008
EV006172,CASE009094,WhatsApp Chat,Libero aut quod voluptatibus minus.,Pending Analysis,OFF00425
EV006173,CASE001168,Passport,Necessitatibus aperiam laboriosam vero ipsam fugit.,Collected,OFF00375
EV006174,CASE004276,WhatsApp Chat,Natus veniam alias cupiditate earum vero sunt.,Sent to FSL,OFF00215
EV006175,CASE002591,Laptop,Dolore iusto harum reprehenderit fugiat exercitationem porro iusto officia.,Sent to FSL,OFF00344
EV006176,CASE001290,WhatsApp Chat,Pariatur quo delectus dolores pariatur quaerat.,Pending Analysis,OFF00059
EV006177,CASE004123,Mobile Phone,Minus molestias quaerat architecto odio ab praesentium tempora ea officiis.,Verified,OFF00486
EV006178,CASE008864,Weapon,Delectus odio labore ab ad accusantium.,Collected,OFF00355
EV006179,CASE001889,Bank Statement,Veniam eum repellendus corrupti corporis adipisci.,Verified,OFF00386
EV006180,CASE005494,Mobile Phone,Reprehenderit neque amet voluptatibus dicta soluta dolorem quos quaerat exercitationem.,Sent to FSL,OFF00465
EV006181,CASE006915,DNA Sample,In inventore ex a blanditiis neque.,Verified,OFF00084
EV006182,CASE004473,DNA Sample,Iste facilis ex officiis ullam porro dicta deserunt.,Sent to FSL,OFF00386
EV006183,CASE006473,Passport,Optio quos aspernatur at minima quod explicabo.,Sent to FSL,OFF00392
EV006184,CASE001773,Driving License,Doloribus dolorum esse amet eum totam.,Verified,OFF00414
EV006185,CASE006645,Laptop,Rem molestiae velit suscipit voluptatibus sapiente cumque assumenda sapiente.,Pending Analysis,OFF00201
EV006186,CASE003849,Video,Quo quae eius provident molestiae ipsa sapiente.,Collected,OFF00280
EV006187,CASE000219,Mobile Phone,Sed ab non voluptas possimus ducimus ab tenetur.,Verified,OFF00356
EV006188,CASE004320,Call Records,Eveniet est voluptatibus accusantium sunt soluta explicabo voluptate inventore at.,Verified,OFF00179
EV006189,CASE005207,Passport,Ex veniam recusandae necessitatibus repellendus voluptatibus est fuga commodi.,Sent to FSL,OFF00463
EV006190,CASE000805,Laptop,Porro itaque explicabo expedita repudiandae eligendi deserunt porro qui.,Sent to FSL,OFF00303
EV006191,CASE004307,Fingerprint,Aut ipsum qui sint non cum ullam repellendus tenetur natus.,Verified,OFF00123
EV006192,CASE000213,Video,Suscipit dicta qui quidem eum qui ea tempore consequatur explicabo.,Verified,OFF00274
EV006193,CASE002104,Vehicle,Quisquam id id neque nam ullam minus facilis est facere.,Collected,OFF00327
EV006194,CASE005718,Passport,Nostrum amet ipsam dolor natus quae.,Collected,OFF00059
EV006195,CASE007716,Bank Statement,Dolorem delectus fuga vel error accusantium occaecati omnis atque error doloremque.,Verified,OFF00240
EV006196,CASE009633,Mobile Phone,Facere soluta perferendis nisi laudantium odit earum excepturi quis.,Verified,OFF00245
EV006197,CASE009815,Call Records,Repellendus veniam illum expedita libero veritatis cupiditate.,Pending Analysis,OFF00341
EV006198,CASE000610,Fingerprint,Minus deleniti fugit animi consectetur totam eos veniam repellat.,Collected,OFF00099
EV006199,CASE005602,Bank Statement,Aspernatur neque labore iure perspiciatis.,Pending Analysis,OFF00458
EV006200,CASE006287,WhatsApp Chat,Vitae amet impedit harum iure delectus repudiandae quos aliquam impedit.,Pending Analysis,OFF00053
EV006201,CASE008495,CCTV Footage,Unde hic tempora qui nulla voluptate pariatur sed.,Pending Analysis,OFF00383
EV006202,CASE001982,Bank Statement,Cumque corporis nulla delectus accusamus illum deleniti odio ea vitae.,Sent to FSL,OFF00140
EV006203,CASE000444,Driving License,Commodi aspernatur neque impedit nemo blanditiis labore.,Collected,OFF00349
EV006204,CASE009751,Call Records,Laboriosam voluptate voluptatibus occaecati accusamus magni.,Pending Analysis,OFF00204
EV006205,CASE004614,Passport,Quibusdam iste beatae consequatur labore debitis accusantium.,Sent to FSL,OFF00439
EV006206,CASE007569,Call Records,Provident maxime sit vero nesciunt distinctio non nulla.,Collected,OFF00160
EV006207,CASE001883,Bank Statement,Soluta aperiam voluptatum eligendi sint placeat itaque sequi quae.,Collected,OFF00212
EV006208,CASE006243,Call Records,Quis pariatur assumenda at veniam quae repellat.,Collected,OFF00240
EV006209,CASE001705,Vehicle,Ipsam minima eaque officia cumque libero delectus eum deserunt.,Collected,OFF00176
EV006210,CASE005618,Driving License,Nemo assumenda assumenda quidem corrupti neque rem dolore fugit dolorum.,Verified,OFF00050
EV006211,CASE002213,Mobile Phone,Temporibus nemo aperiam error tempore.,Pending Analysis,OFF00230
EV006212,CASE008251,SIM Card,Iste minima facilis consectetur repudiandae nisi.,Collected,OFF00323
EV006213,CASE002716,DNA Sample,Animi delectus impedit officiis cupiditate deleniti laboriosam neque dolor inventore.,Verified,OFF00021
EV006214,CASE004216,CCTV Footage,Atque quas voluptas atque.,Pending Analysis,OFF00190
EV006215,CASE004694,Passport,Aperiam nam culpa laborum magni quas ea itaque.,Sent to FSL,OFF00026
EV006216,CASE004763,CCTV Footage,Quae asperiores recusandae voluptas ut quaerat autem ad id labore.,Pending Analysis,OFF00163
EV006217,CASE009879,Call Records,Dolorem ducimus maxime possimus delectus hic.,Collected,OFF00033
EV006218,CASE004334,SIM Card,Optio dolorem omnis recusandae doloremque incidunt.,Collected,OFF00124
EV006219,CASE003038,SIM Card,Libero nemo quia saepe velit ex ut hic quasi similique.,Verified,OFF00027
EV006220,CASE004052,WhatsApp Chat,Aliquid aut porro fugiat accusamus nesciunt ipsum fuga doloribus.,Pending Analysis,OFF00105
EV006221,CASE004671,Fingerprint,Vel ea necessitatibus ducimus odio dolores sed quis.,Verified,OFF00438
EV006222,CASE008788,Fingerprint,Molestiae molestias atque maiores tempore porro maxime error.,Verified,OFF00410
EV006223,CASE005425,Video,Illum expedita quasi aliquid doloremque assumenda eum dignissimos veniam.,Pending Analysis,OFF00176
EV006224,CASE009995,WhatsApp Chat,Ipsam cupiditate odio doloribus vitae eveniet est voluptatem aperiam.,Collected,OFF00168
EV006225,CASE009487,Fingerprint,Fugiat mollitia voluptas quis quasi beatae.,Sent to FSL,OFF00488
EV006226,CASE004991,Laptop,Vel voluptatibus veniam aut nobis consectetur sapiente excepturi.,Verified,OFF00296
EV006227,CASE004225,Mobile Phone,Blanditiis perferendis error minus perspiciatis accusantium explicabo sapiente.,Collected,OFF00391
EV006228,CASE009564,CCTV Footage,Culpa incidunt animi corrupti.,Sent to FSL,OFF00134
EV006229,CASE007463,Photo,Laborum eveniet molestias nesciunt in enim officiis aut voluptatem.,Verified,OFF00174
EV006230,CASE008854,Weapon,Eius corrupti saepe molestias deserunt molestiae quae.,Collected,OFF00193
EV006231,CASE001872,CCTV Footage,Cupiditate ex quod delectus accusamus maiores.,Pending Analysis,OFF00181
EV006232,CASE005731,Vehicle,Ut eveniet adipisci necessitatibus cumque.,Pending Analysis,OFF00089
EV006233,CASE003880,Driving License,Facere aliquam commodi totam laboriosam doloremque eaque voluptatibus voluptates.,Sent to FSL,OFF00069
EV006234,CASE006808,CCTV Footage,Accusamus repellendus necessitatibus consequuntur.,Sent to FSL,OFF00162
EV006235,CASE004075,Mobile Phone,Praesentium accusamus minima inventore minus eos aliquid fugiat fugit quis.,Verified,OFF00475
EV006236,CASE001218,Passport,Tenetur suscipit totam animi in harum quo provident delectus.,Verified,OFF00397
EV006237,CASE001264,Weapon,Ipsam deserunt assumenda accusamus.,Verified,OFF00467
EV006238,CASE001853,Photo,Reiciendis blanditiis explicabo aliquam veritatis nemo corporis totam eaque officiis non.,Verified,OFF00465
EV006239,CASE005392,Bank Statement,Quae hic assumenda tempore maiores facere enim praesentium.,Collected,OFF00145
EV006240,CASE006834,DNA Sample,Aliquam omnis corporis doloribus autem qui eveniet incidunt eaque voluptatum.,Pending Analysis,OFF00028
EV006241,CASE007297,Weapon,Repellat aliquam cumque neque corrupti est.,Sent to FSL,OFF00246
EV006242,CASE004092,SIM Card,Inventore vero est alias perferendis quae aliquam.,Collected,OFF00421
EV006243,CASE008857,Weapon,Commodi ullam blanditiis veritatis neque.,Pending Analysis,OFF00235
EV006244,CASE007647,Video,Dolore dolor et itaque illo amet.,Pending Analysis,OFF00458
EV006245,CASE007878,Passport,Sapiente est sequi ducimus eos dolorum.,Collected,OFF00192
EV006246,CASE005192,Vehicle,Consequuntur corrupti magnam repellat aspernatur esse quasi ipsum.,Pending Analysis,OFF00023
EV006247,CASE006571,Laptop,Illo ullam occaecati quam illo ad nostrum sed eos.,Collected,OFF00277
EV006248,CASE000348,CCTV Footage,Commodi laborum et tempore deleniti cupiditate quo.,Pending Analysis,OFF00113
EV006249,CASE009089,Driving License,Exercitationem laudantium quaerat cum explicabo placeat itaque facilis.,Collected,OFF00392
EV006250,CASE008923,Video,Iure odit voluptas omnis officia.,Sent to FSL,OFF00395
EV006251,CASE007686,DNA Sample,Omnis debitis voluptatem magnam vel necessitatibus.,Collected,OFF00055
EV006252,CASE008762,CCTV Footage,Perspiciatis natus hic sint facilis vero.,Sent to FSL,OFF00472
EV006253,CASE001976,WhatsApp Chat,Maiores repudiandae quasi unde asperiores quibusdam perferendis asperiores corporis dolor.,Verified,OFF00086
EV006254,CASE005686,Weapon,Omnis enim facere minima amet autem.,Verified,OFF00259
EV006255,CASE003317,Bank Statement,Sapiente distinctio modi aut dolorum quas alias vel atque consequatur.,Sent to FSL,OFF00314
EV006256,CASE005514,Fingerprint,Eos nihil repellendus repellat repudiandae magnam.,Collected,OFF00245
EV006257,CASE004573,DNA Sample,Modi commodi accusantium cupiditate consequatur dolore voluptates eum occaecati.,Collected,OFF00190
EV006258,CASE005522,Laptop,Aliquam soluta modi tempore architecto ipsum.,Verified,OFF00230
EV006259,CASE004249,Vehicle,Aliquam alias assumenda beatae rem asperiores nam in dolor.,Collected,OFF00137
EV006260,CASE006838,Video,Sapiente quod iste perspiciatis adipisci velit fugiat natus repudiandae.,Sent to FSL,OFF00147
EV006261,CASE005825,Vehicle,Nobis nihil voluptates magni itaque distinctio.,Collected,OFF00091
EV006262,CASE000262,WhatsApp Chat,Vitae deserunt eaque corrupti dolorem corrupti facere.,Sent to FSL,OFF00080
EV006263,CASE004308,DNA Sample,Iusto hic non maxime odio neque.,Collected,OFF00305
EV006264,CASE000525,Passport,Error iusto consequuntur beatae ad.,Pending Analysis,OFF00287
EV006265,CASE000576,Weapon,Unde ratione fugiat error modi odio.,Pending Analysis,OFF00457
EV006266,CASE005452,Fingerprint,Tenetur dignissimos tempore expedita.,Verified,OFF00187
EV006267,CASE008769,SIM Card,Voluptatem omnis sunt ea vel similique sunt est assumenda ratione doloremque.,Verified,OFF00144
EV006268,CASE005493,DNA Sample,Sequi fugiat illum temporibus aut ea nesciunt id sapiente.,Sent to FSL,OFF00167
EV006269,CASE008236,Vehicle,Est a incidunt dolorum consequuntur eligendi amet vitae.,Sent to FSL,OFF00397
EV006270,CASE003056,SIM Card,Quae necessitatibus a placeat ipsam aliquid soluta ipsum reiciendis.,Sent to FSL,OFF00097
EV006271,CASE003027,Weapon,Rem explicabo fugiat vitae eaque in deserunt quam.,Verified,OFF00098
EV006272,CASE004550,Mobile Phone,Atque molestias eos aspernatur voluptatem eligendi neque et aut.,Verified,OFF00290
EV006273,CASE009071,Driving License,Voluptate necessitatibus sunt nam ducimus veniam ipsa praesentium.,Collected,OFF00377
EV006274,CASE004321,Weapon,Occaecati tempore quaerat voluptatibus magni nemo vero quos quos.,Pending Analysis,OFF00271
EV006275,CASE009997,CCTV Footage,Eos facere quis suscipit in praesentium quas asperiores.,Pending Analysis,OFF00495
EV006276,CASE000433,Weapon,Quos molestiae cumque eligendi exercitationem.,Collected,OFF00283
EV006277,CASE007593,Driving License,Quia aspernatur eos officia ullam mollitia accusantium dicta.,Verified,OFF00434
EV006278,CASE005233,Video,Blanditiis iure recusandae ad alias.,Collected,OFF00081
EV006279,CASE000317,DNA Sample,A accusantium deserunt recusandae temporibus velit delectus dolorum veniam.,Pending Analysis,OFF00304
EV006280,CASE008168,CCTV Footage,Voluptatem dolor fugiat laborum cumque veniam aspernatur quidem magnam iste nisi.,Pending Analysis,OFF00424
EV006281,CASE008992,Photo,Magni in voluptatum culpa perspiciatis maxime illo quos.,Pending Analysis,OFF00240
EV006282,CASE002988,Bank Statement,Vitae nostrum ducimus nulla.,Collected,OFF00127
EV006283,CASE000066,CCTV Footage,In a inventore nemo quidem ullam.,Collected,OFF00159
EV006284,CASE004621,Photo,Dicta quaerat cupiditate harum ipsam deserunt.,Pending Analysis,OFF00327
EV006285,CASE008608,Video,Molestiae perspiciatis dolor iste recusandae.,Pending Analysis,OFF00074
EV006286,CASE002782,Video,Quidem perspiciatis perspiciatis suscipit mollitia totam sapiente maiores provident.,Verified,OFF00426
EV006287,CASE004215,Video,Libero ipsa sit at quasi.,Verified,OFF00466
EV006288,CASE005984,SIM Card,Id veritatis perspiciatis ullam omnis doloremque ad velit facere.,Sent to FSL,OFF00500
EV006289,CASE003995,Fingerprint,Ratione ipsa necessitatibus impedit similique numquam exercitationem repudiandae consequatur ratione.,Pending Analysis,OFF00380
EV006290,CASE008813,Photo,Alias nesciunt ipsa maiores aut a tempora ratione.,Pending Analysis,OFF00057
EV006291,CASE003924,DNA Sample,At explicabo quos eligendi voluptatibus voluptatum sapiente excepturi.,Collected,OFF00063
EV006292,CASE008932,Driving License,Eligendi quibusdam assumenda ullam id beatae nobis accusamus itaque repellendus.,Collected,OFF00051
EV006293,CASE005055,Mobile Phone,Hic repudiandae eum nulla accusamus cupiditate doloremque expedita vel.,Sent to FSL,OFF00310
EV006294,CASE007030,CCTV Footage,Doloremque pariatur vitae officia soluta.,Sent to FSL,OFF00442
EV006295,CASE008636,SIM Card,Neque doloribus exercitationem deserunt iure.,Sent to FSL,OFF00011
EV006296,CASE007113,Vehicle,Aut aperiam corporis consectetur voluptate quasi explicabo officiis.,Pending Analysis,OFF00098
EV006297,CASE001033,Weapon,Non aspernatur perferendis aliquam temporibus ipsam magnam nemo aliquid cumque eligendi.,Pending Analysis,OFF00265
EV006298,CASE007128,CCTV Footage,Explicabo laborum est optio libero sapiente.,Sent to FSL,OFF00344
EV006299,CASE002561,Photo,Nostrum fugit amet quis molestiae dolor ipsum.,Pending Analysis,OFF00403
EV006300,CASE003150,Weapon,Vitae minus totam modi dolore molestias.,Pending Analysis,OFF00302
EV006301,CASE008796,CCTV Footage,Provident ea quibusdam quod necessitatibus.,Pending Analysis,OFF00365
EV006302,CASE008123,Weapon,Tempora amet vitae minus ab et ipsam voluptatibus.,Verified,OFF00199
EV006303,CASE008363,CCTV Footage,Eligendi reiciendis iure sit.,Verified,OFF00153
EV006304,CASE001137,Laptop,Eos saepe qui laudantium nostrum enim.,Verified,OFF00193
EV006305,CASE001911,Weapon,Nobis itaque modi blanditiis libero exercitationem beatae magnam ipsam.,Sent to FSL,OFF00213
EV006306,CASE004649,Call Records,Neque a laboriosam inventore culpa ducimus eligendi.,Collected,OFF00452
EV006307,CASE002205,Vehicle,Dolores tenetur fuga eveniet blanditiis quo necessitatibus voluptatem accusantium facilis.,Verified,OFF00125
EV006308,CASE001076,Call Records,Nesciunt aliquam ex blanditiis consequuntur quos dolore possimus recusandae tenetur.,Pending Analysis,OFF00256
EV006309,CASE000111,Passport,Voluptatem dicta sed sunt voluptas itaque.,Collected,OFF00228
EV006310,CASE002929,CCTV Footage,Tenetur neque ipsum dignissimos at quidem quod voluptate repudiandae.,Verified,OFF00019
EV006311,CASE008464,WhatsApp Chat,Omnis eum quisquam dignissimos molestiae sequi laboriosam.,Verified,OFF00396
EV006312,CASE007714,Weapon,Explicabo nihil sed quasi iure consequuntur eos quaerat.,Sent to FSL,OFF00168
EV006313,CASE004155,Mobile Phone,Quibusdam repudiandae fugiat unde voluptates natus excepturi adipisci laborum.,Sent to FSL,OFF00465
EV006314,CASE003008,Passport,Nulla adipisci veritatis mollitia consectetur facilis.,Verified,OFF00006
EV006315,CASE009400,Call Records,Beatae cum nihil repellat ab praesentium.,Verified,OFF00193
EV006316,CASE004969,Vehicle,Laboriosam libero autem assumenda incidunt consequatur corrupti temporibus.,Pending Analysis,OFF00227
EV006317,CASE005379,Vehicle,Repellendus debitis dolor magnam possimus necessitatibus quidem provident sint.,Collected,OFF00221
EV006318,CASE006501,Mobile Phone,Rem eveniet totam fugiat est pariatur est molestias incidunt placeat amet.,Collected,OFF00420
EV006319,CASE007821,DNA Sample,Similique optio accusamus quae nobis exercitationem consequatur dicta ullam.,Sent to FSL,OFF00483
EV006320,CASE004594,Laptop,Consequatur dolore officia incidunt iste dolor incidunt ea commodi velit.,Pending Analysis,OFF00122
